L1_Category,L1_Code,L1_Description,L2_Subcategory,L2_Code,L2_Description,Example_Keywords
Core Functionality,L1.1,Issues affecting fundamental Claude Code operations,Context Management,L2.1.1,Context window usage,"context, token, compact, window"
Core Functionality,L1.1,Issues affecting fundamental Claude Code operations,Session Management,L2.1.2,Session lifecycle,"session, conversation, history, resume"
Core Functionality,L1.1,Issues affecting fundamental Claude Code operations,Agent Behavior,L2.1.3,Agentic loop,"agent, loop, agentic, autonomous, task"
Core Functionality,L1.1,Issues affecting fundamental Claude Code operations,Stability & Errors,L2.1.4,Crashes,"crash, exit, hang, freeze, terminated"
Core Functionality,L1.1,Issues affecting fundamental Claude Code operations,Hooks & Lifecycle,L2.1.5,Hook execution,"hook, trigger, lifecycle, sessionstart, precompact"
API & Integration,L1.2,Issues with external API connections and integrations,Network & Proxy,L2.2.1,Proxy configuration,"proxy, network, egress, dns, connection"
API & Integration,L1.2,Issues with external API connections and integrations,Authentication & Authorization,L2.2.2,API keys,"401, 403, unauthorized, authentication, api key"
API & Integration,L1.2,Issues with external API connections and integrations,Rate Limits & Quotas,L2.2.3,Rate limiting,"rate limit, 429, quota, throttle"
API & Integration,L1.2,Issues with external API connections and integrations,Cloud Provider APIs,L2.2.4,AWS Bedrock and GCP Vertex,"bedrock, vertex, aws, gcp"
Terminal UI,L1.3,Issues with command-line interface,Rendering & Display,L2.3.1,Visual layout,"render, display, visual, layout, ui"
Terminal UI,L1.3,Issues with command-line interface,Commands & Controls,L2.3.2,Slash commands,"command, slash, shortcut"
Terminal UI,L1.3,Issues with command-line interface,Input Handling,L2.3.3,Keyboard input,"input, paste, copy, keyboard, autocomplete"
Terminal UI,L1.3,Issues with command-line interface,Feedback & Status,L2.3.4,Status indicators,"status, notification, progress, indicator"
Tools & Execution,L1.4,Issues with tool invocation,File Operations,L2.4.1,File read/write,"file, read, write, edit, save"
Tools & Execution,L1.4,Issues with tool invocation,Bash Execution,L2.4.2,Shell commands,"bash, shell, command, timeout"
Tools & Execution,L1.4,Issues with tool invocation,Git Operations,L2.4.3,Git commands,"git, clone, push, commit, repository"
Tools & Execution,L1.4,Issues with tool invocation,Permissions & Sandbox,L2.4.4,Security sandbox,"sandbox, allowlist, denylist, permission, bypass"
MCP Integration,L1.5,Model Context Protocol issues,Plugin Management,L2.5.1,Plugin lifecycle,"plugin, install, update, marketplace"
MCP Integration,L1.5,Model Context Protocol issues,MCP Server Communication,L2.5.2,Server connections,"mcp server, oauth, connection, discovery"
MCP Integration,L1.5,Model Context Protocol issues,Tool Invocation,L2.5.3,MCP tool usage,"mcp tool, tool call, tool result"
IDE Integration,L1.6,IDE extension issues,VS Code Extension,L2.6.1,VS Code specific,"vscode, extension, panel"
IDE Integration,L1.6,IDE extension issues,Cursor Integration,L2.6.2,Cursor editor,"cursor, sync"
IDE Integration,L1.6,IDE extension issues,General IDE Issues,L2.6.3,Cross-IDE,"ide, startup, connection, settings"
Model & Reasoning,L1.7,Claude model behavior,Code Quality,L2.7.1,Generated code errors,"generated code, syntax error, logic bug"
Model & Reasoning,L1.7,Claude model behavior,Model Selection,L2.7.2,Model switching,"model switch, opus, sonnet, haiku"
Model & Reasoning,L1.7,Claude model behavior,Reasoning & Understanding,L2.7.3,Instruction following,"misunderstand, hallucinate, fabricate"
Platform-Specific,L1.8,OS-specific issues,macOS,L2.8.1,macOS only,"macos, darwin, mac"
Platform-Specific,L1.8,OS-specific issues,Windows,L2.8.2,Windows only,"windows, win32"
Platform-Specific,L1.8,OS-specific issues,Linux,L2.8.3,Linux only,"linux, ubuntu, debian"
Performance & Resources,L1.9,Speed and resource issues,Memory Management,L2.9.1,Memory usage,"memory, leak, ram, oom"
Performance & Resources,L1.9,Speed and resource issues,Response Time,L2.9.2,Latency issues,"slow, latency, timeout, lag"
Performance & Resources,L1.9,Speed and resource issues,Resource Usage,L2.9.3,CPU and disk,"cpu, disk, i/o, performance"
Security,L1.10,Security concerns,Sandbox Bypass,L2.10.1,Security violations,"sandbox bypass, absolute path, allowlist bypass"
Security,L1.10,Security concerns,Credential Management,L2.10.2,API keys and secrets,"api key, secret, token, credential"
Security,L1.10,Security concerns,Data Privacy,L2.10.3,PII handling,"pii, sensitive data, privacy"
