issue_number,title,labels,Category,Sentiment,L1_Tag,L1_Category,L2_Tag,L2_Category,Confidence,Tagging_Notes
14217,[Bug] Poor instruction following in Claude Code responses,"bug, platform:macos, area:api",Bug,Negative,L1.2,API & Integration,Other,Other,Low,No L2 match found
14215,[Bug] Unable to compact,"bug, has repro, platform:macos, area:mcp",Bug,Neutral,L1.5,MCP Integration,Other,Other,Low,No L2 match found
14202,Bug: Project-scoped plugins incorrectly detected as installed globally,"bug, has repro, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
14201,[Bug] Image rejected as too large despite being under 50 KB limit,"bug, has repro, platform:macos, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
14196,[Bug] Image compression failure causes CLI freeze and conversation corruption,"bug, has repro, platform:macos, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
14195,[Bug] Anthropic API Error: Prompt exceeds maximum token limit (191989 > 180000) sonnet[1m],"bug, has repro, platform:macos, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
14193,[BUG] Extension icon disappeared from primary sidebar after v2.0.70 update in VSCodium 1.106.37943,"bug, has repro, platform:macos, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
14191,[Feature Request] Command access control for project-scoped restrictions,"enhancement, platform:linux, area:security",Feature Request,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
14186,[BUG] vscode Plan mode saves files to system directory instead of project directory,"bug, has repro, platform:macos, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
14178,[FEATURE] Do not auto send the suggestion reply on enter,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14174,[FEATURE] Expose rate limit / usage data in statusLine JSON input,"duplicate, enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14171,[Bug] Claude model produces incorrect Spanish characters and orthographic errors with tildes and ñ,duplicate,Bug,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
14169,[Bug] Hide Opus 4.5 upgrade note when already using Opus 4.5,"enhancement, area:tui, area:model",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
14164,[Bug] Pasted text placeholders not expanded in message history,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14155,[Feature Request] Voice-to-text input support for CLI,"enhancement, platform:linux, area:tui, area:a11y",Feature Request,Positive,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14154,[FEATURE] Add Skill() to permissions pattern in JSON schema,"enhancement, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
14147,[Bug] Preview code diff colors inconsistent between runs in trminal,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14143,[BUG],"bug, duplicate, platform:macos, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
14142,[Feature Request] statusline-setup agent missing current_usage field implementation for context window calculations,"enhancement, platform:macos, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14140,[Bug] Terminal flickering during verbose mode with large code updates,"bug, has repro, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14136,Feature Request: Expose plan usage/subscription limits in status line input,"enhancement, area:tui",Feature Request,Positive,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14131,"[BUG] German umlauts (ä, ö, ü) randomly replaced with ASCII substitutes (ae, oe, ue)","bug, has repro, platform:macos, area:model",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
14129,"[BUG]  /rate-limit-options command repeatedly auto-executes after session reset, causing excessive token consumption","bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14126,[Bug] Web Search tool stuck on 2024 date context despite updated configuration,"bug, duplicate, has repro, platform:macos, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
14121,"[FEATURE] In the Desktop app, the panel for code review is very small compared to the CLI version, and makes it difficult to read.","enhancement, area:ide",Feature Request,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
14115,Review archived workflows 8000/8100 for potential reactivation or deletion,enhancement,Bug,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
14112,[Feature Request] Persistent shell output access to avoid redundant long-running command executions,"enhancement, area:tools, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
14110,[BUG] each tool_use must have a single result. Found multiple `tool_result` blocks,"bug, api:vertex, platform:macos, area:tools, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
14108,[Bug] Invalid URL in /review command plugin installation instructions,"bug, documentation, platform:macos",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
14106,[Bug] Sometimes scrollback is unavailable in Windows Terminal,"bug, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14105,Vertex AI 内容安全过滤误报中文拼音名字,"bug, has repro, api:vertex, external",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
14103,Claude Code repeatedly fabricates information instead of admitting uncertainty,"bug, has repro, platform:macos, area:model",Bug,Negative,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
14102,Credit balance too low (Claude MAX - Enough Usage),"bug, area:cost",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
14098,"[Feature Request] Show PID of blocking process in ""claude update"" error message","enhancement, has repro, platform:linux, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
14096,[Bug] Secrets exposed in conversation logging even if read from 1password,"bug, has repro, platform:macos, area:security",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
14095,[Bug] AI model consistently reports incorrect year (2024) in responses,"bug, duplicate, platform:macos, area:model, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
14091,[Bug] Status line token counts not resetting after /clear or /compact commands,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14087,[BUG] SONNET USAGE FAILED TO RE,"bug, has repro, platform:macos, area:api",Bug,Negative,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
14085,Security: Predictable temp file names in /tmp vulnerable to symlink attacks,"bug, has repro, area:security",Bug,Neutral,L1.10,Security,Other,Other,Low,No L2 match found
14084,Add setting to persist editor mode (vim) across sessions,"enhancement, area:tui",Feature Request,Positive,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14075,[Bug] Anthropic API Error: Orphaned tool_result block without corresponding tool_use,"bug, duplicate, has repro, platform:macos, area:tools, area:core, area:api",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
14074,[DOCS] Tags please?,"documentation, enhancement",Documentation,Positive,Other,Other,Other,Other,Low,Weak L1 match (score=1)
14070,[BUG] Claude is never thorough with Impact analysis,"bug, enhancement, area:model",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
14067,[Feature Request] Expose MCP Server Toggle as a Claude-Invokable Tool for Skills,"enhancement, area:tools, area:mcp",Feature Request,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
14066,[BUG] AWS Bedrock Air-Gapped Regions,"bug, has repro, platform:windows, api:bedrock, area:auth",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
14058,[Feature Request] Include actual context window usage in statusline JSON,"enhancement, area:tui, area:api",Feature Request,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
14055,Parallel Task agents intermittently lose output content,"bug, has repro, platform:macos, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,No L2 match found
14051,[BUG],"bug, has repro, platform:linux, area:cost, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
14042,[Feature Request] Add PyCharm/JetBrains IDE button alongside VS Code button,"enhancement, platform:macos, area:ide",Feature Request,Positive,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
14038,"[Bug Report: API Error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Could not process      PDF""}]","bug, has repro, platform:windows, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
14033,[Bug] Anthropic API Error: Invalid tool_result block without corresponding tool_use,"bug, duplicate, platform:macos, area:tools, area:core, area:api",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
14029,[BUG] Windows PowerShell installer (install.ps1) serves outdated version 2.0.65 while Linux is at 2.0.69,"bug, has repro, platform:windows, area:packaging",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
14028,"[BUG] During tool usage, claude code does not terminate a underline","bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
14027,[FEATURE] Leave Claude with single Ctrl+D,"enhancement, area:tui",Feature Request,Negative,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14026,[BUG] Rate limit blocking usage despite having available credits ($19 remaining),"bug, has repro, platform:macos, area:auth, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
14025,[Feature Request] Increase Claude 3 Opus context window support,"enhancement, platform:macos, area:api",Feature Request,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
14021,[Bug] Claude ignores explicit user instructions and performs predicted tasks instead,"bug, platform:macos, area:auth, area:model, area:core, area:api",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
14017,[Bug] Anthropic API Error: 520 Status Code,"bug, has repro, platform:macos, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
14016,Skills don't auto-activate in spawned agents (via Task tool),"bug, has repro, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
14014,[BUG] terminal setup crashes in ghostty,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
14013,PasswordResetConfirmRequest.java,invalid,Feature Request,Neutral,Other,Other,Other,Other,Low,No clear L1/L2 match
14008,[Feature Request] Add keyboard navigation for prompt/response history in VS Code plugin,"enhancement, area:tui, area:ide",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
14006,[FEATURE] shortcut to go to prompt,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13994,Feature Request: Expose per-sub-agent metrics in status line and hooks,"enhancement, has repro, area:tui, area:tools, area:api",Feature Request,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
13992,[Feature Request] Load CLAUDE.md from VS Code workspace root directories,"enhancement, platform:windows, area:ide, memory",Feature Request,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13991,[FEATURE] Add built-in setting to customize the Claude Code ASCII banner/logo in terminal,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13987,Bug Report,,Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13981,[BUG] Install bash script fails with timeout,"bug, has repro, platform:linux, area:packaging",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13979,[Bug] Anthropic API Error: Cannot modify thinking blocks in assistant messages,"bug, duplicate, has repro, platform:linux, area:model, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
13978,[BUG] Cannot edit cloud environments on CC Web,"bug, has repro, platform:windows",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13977,[BUG] Statusline context_window tokens are cumulative and don't reset on /clear,"bug, duplicate, has repro, platform:macos, area:tui, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
13975,[BUG] /context slash command no longer exists in CC VS Code extension,"bug, has repro, platform:linux, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13967,[BUG] FIX YOUR FUHKING SCROLL ISSUE - STOP IGNORING IT ITS BEEN REQUESTED FOR OVER A YEAR ITS AI SLOP FIX IT,"bug, duplicate, platform:windows, area:tui, memory",Bug,Negative,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13966,"Image paste from clipboard not working in some terminal emulators (Terminator, PhpStorm integrated terminal)","bug, has repro, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13965,"[Bug] Claude generates inappropriate ""Nazi Judge"" persona in multi-agent audit workflow","bug, has repro, area:model, area:security",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
13957,[Feature Request] Add support for alternative AI models alongside Claude,"bug, has repro, platform:windows, area:api, area:mcp",Feature Request,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
13950,[BUG]   Cli Long term chatting will flicker and scroll,"bug, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13942,"Last character truncated in terminal output (statusline, release notes, etc.)","bug, has repro, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13938,[FEATURE] PermissionRequest hook payload should include tool_use_id,"enhancement, area:tools",Feature Request,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13931,[E2E] Browser 3 - Gap resolution not reducing blocking gap count,invalid,Bug,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
13930,[BUG] Input background highlighting appears inconsistently,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13927,[Bug] Plugin TUI validation rejects agents array while CLI install succeeds,,Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13924,[Feature Request] Display cursor bar indicator in Vim insert mode,"enhancement, platform:macos, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13921,[BUG]  Minified React error #185,"bug, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13913,[Feature Request] Add option to disable feedback prompt,"duplicate, enhancement, platform:macos, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13910,The /feedback command should work when using Claude through Vertex AI,"enhancement, api:vertex, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13909,[Bug] Anthropic API Error: Could not process image,"bug, has repro, platform:macos, area:tools, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13905,[BUG] Invalid YAML syntax in claude/rules frontmatter `paths` property,"bug, documentation, has repro, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
